[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter 109 [  random] | Games:  1750 | R/B/D: 0/1/15 CM:1(6%)x4 | Len: 192 | PL: 2.3190 | VL: 0.0060 | Buf:  20000 | SP: 121s (7.9g/m) | Train: 2s | Elapsed: 14666s
Iter 110 [  random] | Games:  1766 | R/B/D: 0/1/15 CM:1(6%)x5 | Len: 195 | PL: 2.3280 | VL: 0.0048 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 1s | Elapsed: 14797s
  >> Eval vs random (10g): 0W / 1L / 9D  (Score: 45%)
Iter 111 [  random] | Games:  1783 | R/B/D: 0/3/14 CM:3(18%)x5 | Len: 182 | PL: 2.3639 | VL: 0.0098 | Buf:  20000 | SP: 131s (7.8g/m) | Train: 2s | Elapsed: 15406s
Iter 112 [  random] | Games:  1799 | R/B/D: 1/2/13 CM:3(19%)x4 | Len: 193 | PL: 2.3765 | VL: 0.0078 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 2s | Elapsed: 15537s
Iter 113 [  random] | Games:  1815 | R/B/D: 2/0/14 CM:2(12%)x5 | Len: 194 | PL: 2.3879 | VL: 0.0079 | Buf:  20000 | SP: 124s (7.7g/m) | Train: 2s | Elapsed: 15663s
Iter 114 [  random] | Games:  1831 | R/B/D: 1/2/13 CM:3(19%)x4 | Len: 186 | PL: 2.3929 | VL: 0.0078 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 1s | Elapsed: 15791s
Iter 115 [  random] | Games:  1847 | R/B/D: 4/0/12 CM:4(25%)x4 | Len: 186 | PL: 2.3823 | VL: 0.0065 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 2s | Elapsed: 15919s
Iter 116 [  random] | Games:  1863 | R/B/D: 3/1/12 CM:4(25%)x3 | Len: 188 | PL: 2.4042 | VL: 0.0087 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 2s | Elapsed: 16050s
Iter 117 [  random] | Games:  1879 | R/B/D: 0/1/15 CM:1(6%)x4 | Len: 199 | PL: 2.3911 | VL: 0.0048 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 16182s
Iter 118 [  random] | Games:  1896 | R/B/D: 3/2/12 CM:5(29%)x3 | Len: 177 | PL: 2.4146 | VL: 0.0091 | Buf:  20000 | SP: 129s (7.9g/m) | Train: 2s | Elapsed: 16313s
Iter 119 [  random] | Games:  1912 | R/B/D: 2/1/13 CM:3(19%)x3 | Len: 191 | PL: 2.4331 | VL: 0.0065 | Buf:  20000 | SP: 134s (7.2g/m) | Train: 1s | Elapsed: 16448s
Iter 120 [  random] | Games:  1928 | R/B/D: 4/2/10 CM:6(38%)x2 | Len: 180 | PL: 2.4579 | VL: 0.0088 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 16581s
  >> Eval vs random (10g): 0W / 1L / 9D  (Score: 45%)
Iter 121 [  random] | Games:  1944 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 190 | PL: 2.4560 | VL: 0.0083 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 17164s
Iter 122 [  random] | Games:  1960 | R/B/D: 0/1/15 CM:1(6%)x3 | Len: 194 | PL: 2.4572 | VL: 0.0057 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 2s | Elapsed: 17295s
Iter 123 [  random] | Games:  1976 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 183 | PL: 2.4491 | VL: 0.0064 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 17426s
Iter 124 [  random] | Games:  1992 | R/B/D: 0/2/14 CM:2(12%)x3 | Len: 191 | PL: 2.4531 | VL: 0.0052 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 1s | Elapsed: 17554s
Iter 125 [  random] | Games:  2008 | R/B/D: 3/2/11 CM:5(31%)x3 | Len: 168 | PL: 2.4632 | VL: 0.0061 | Buf:  20000 | SP: 132s (7.3g/m) | Train: 2s | Elapsed: 17688s
Iter 126 [  random] | Games:  2024 | R/B/D: 1/3/12 CM:4(25%)x3 | Len: 195 | PL: 2.4732 | VL: 0.0071 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 17817s
Iter 127 [  random] | Games:  2040 | R/B/D: 1/3/12 CM:4(25%)x2 | Len: 186 | PL: 2.4694 | VL: 0.0063 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 1s | Elapsed: 17949s
Iter 128 [  random] | Games:  2056 | R/B/D: 1/0/15 CM:1(6%)x3 | Len: 194 | PL: 2.4542 | VL: 0.0045 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 1s | Elapsed: 18078s
